video_id,final_views,num_country,num_country_quantile,final_views_quantile,quantile
7oN_FzmMk5Q,216085,1,0,2,2
9JmsgkNmWLk,235836,1,0,2,2
A6kSf-5R_5c,236642,1,0,2,2
AVKVPj7WboM,431530,1,0,2,2
DK0z2ULF2rQ,568349,1,0,2,2
G_A4mMF80Vo,260289,1,0,2,2
IbtmfYz_LAY,473410,1,0,2,2
LUtnvstYQkk,448906,1,0,2,2
OhNrQ1-wkNM,546780,1,0,2,2
PZWlT-iUI0s,291294,1,0,2,2
QHPR-5UiWEg,407359,1,0,2,2
RNTa4a263Qc,430630,1,0,2,2
Rrz--PvRY9g,479556,1,0,2,2
WQMgcUq2rcg,262472,1,0,2,2
aWp_5w9rnW0,430134,1,0,2,2
agyD0ji1RV0,494479,1,0,2,2
bt-NvzFE5Ig,357153,1,0,2,2
cX8WUizKTLQ,316044,1,0,2,2
di0agg0qRNk,433628,1,0,2,2
f_KGqv423r8,204070,1,0,2,2
qQWBz_iqFvE,388065,1,0,2,2
riD2L1Q_oqI,341045,1,0,2,2
vMy71gqxwK0,446441,1,0,2,2
w0McVZA2DeE,230309,1,0,2,2
x3B-tbkTFiw,248070,1,0,2,2
x7p7Pfu_ubg,350558,1,0,2,2
0lQA_7GVY94,247188,1,0,2,2
5icDr62kVQ8,308498,1,0,2,2
5uoigDdyo1s,268579,1,0,2,2
6sTGdtJWgVU,235339,1,0,2,2
7JGmsrB2SRU,440570,1,0,2,2
ASt5zHWJCns,418514,1,0,2,2
BkgcD3V0IP8,386856,1,0,2,2
C34ySX598bA,291456,1,0,2,2
CYKrCyxzoYU,472805,1,0,2,2
E6MQnvqKVL8,203589,1,0,2,2
G7TDlJ2w814,534506,1,0,2,2
GiMBY8WJkPY,265112,1,0,2,2
HpnUXj9y6lk,489412,1,0,2,2
I0mS7-jx5Sc,332581,1,0,2,2
JNmmnB4bP0M,542341,1,0,2,2
JPrH8cvjTsQ,300260,1,0,2,2
LoUdNi-WuGE,395024,1,0,2,2
LxiAYf3iI-4,513724,1,0,2,2
Nw2Xt0L-c1c,387120,1,0,2,2
OPs8EE8jEIU,566564,1,0,2,2
ObWbBklJI_I,555859,1,0,2,2
PTkVOyVGAS4,357363,1,0,2,2
Q7IGUbj1qsw,293322,1,0,2,2
QZQbLj3YQY0,212254,1,0,2,2
SWpmwE-d0tQ,241714,1,0,2,2
YalNn02JSVo,381383,1,0,2,2
ZmSnNYolG0M,479992,1,0,2,2
cBOi6guU1Oo,223170,1,0,2,2
dUtvoyfaXzk,276523,1,0,2,2
f64irsQoIBg,491279,1,0,2,2
jadyZfdxX4I,249900,1,0,2,2
kYbjgPSRWTQ,397837,1,0,2,2
lBFgH1PYhyc,238829,1,0,2,2
pL0OQQ4BpQg,453874,1,0,2,2
pVKcnYkr9oc,444551,1,0,2,2
qZ-D6firuCA,294400,1,0,2,2
uBhmSUx1Xok,448868,1,0,2,2
x4jHfRFAK1w,408872,1,0,2,2
xaoQgpvoZz8,343284,1,0,2,2
xfR5B7BXAB0,570994,1,0,2,2
yjeGZQn6hcc,259991,1,0,2,2
-SPhtNMkYt0,286260,1,0,2,2
0dBskcV8j_M,293117,1,0,2,2
0p7fQKy7df4,400209,1,0,2,2
5PLRfbSnHao,378684,1,0,2,2
6xomqrKaAT0,340483,1,0,2,2
8ARLFkhkJFk,373508,1,0,2,2
8xl04HmiImM,220738,1,0,2,2
AkDVBFgLNvQ,207028,1,0,2,2
BI9Y7Q2yenU,332401,1,0,2,2
CSzsKsi_1Vk,246196,1,0,2,2
Cy1foZzFY40,364919,1,0,2,2
DUnwRgaT9jw,469623,1,0,2,2
FQVdyBqv9gc,590941,1,0,2,2
Fbv6EuowigM,383518,1,0,2,2
LkM0L4_W_pM,221107,1,0,2,2
MdHWJ0INPGI,388166,1,0,2,2
NYq9SPm3zRo,267608,1,0,2,2
Qx0tbb233p8,253500,1,0,2,2
X3M3IDKu3Zs,543313,1,0,2,2
